Name,Algorithm,Score,Relevance
1,Algorithm1,0.42,1
2,Algorithm1,0.45,1
3,Algorithm1,0.47,1
4,Algorithm1,0.51,1
5,Algorithm1,0.6,1
6,Algorithm1,0.62,1
7,Algorithm1,0.63,1
8,Algorithm1,0.7,1
9,Algorithm1,0.8,1
10,Algorithm1,0.85,1
11,Algorithm1,0.1,0
12,Algorithm1,0.12,0
13,Algorithm1,0.14,0
14,Algorithm1,0.17,0
15,Algorithm1,0.21,0
16,Algorithm1,0.23,0
17,Algorithm1,0.23,0
18,Algorithm1,0.32,0
19,Algorithm1,0.35,0
20,Algorithm1,0.37,0
21,Algorithm1,0.4,0
22,Algorithm1,0.41,0
23,Algorithm1,0.45,0
24,Algorithm1,0.47,0
25,Algorithm1,0.5,0
26,Algorithm1,0.72,0
27,Algorithm2,2.3,1
28,Algorithm2,2.5,1
29,Algorithm2,2.7,1
30,Algorithm2,3.2,1
31,Algorithm2,3.5,1
32,Algorithm2,3.6,1
33,Algorithm2,4.1,1
34,Algorithm2,4.6,1
35,Algorithm2,5.3,1
36,Algorithm2,5.9,1
37,Algorithm2,1,0
38,Algorithm2,1.5,0
39,Algorithm2,1.7,0
40,Algorithm2,2.1,0
41,Algorithm2,2.4,0
42,Algorithm2,2.6,0
43,Algorithm2,2.8,0
44,Algorithm2,2.9,0
45,Algorithm2,3.1,0
46,Algorithm2,3.2,0
47,Algorithm2,3.3,0
48,Algorithm2,3.9,0
49,Algorithm2,4.5,0
50,Algorithm2,5.5,0
51,Algorithm3,10,1
52,Algorithm3,12,1
53,Algorithm3,13,1
54,Algorithm3,14,1
55,Algorithm3,16,1
56,Algorithm3,17,1
57,Algorithm3,19,1
58,Algorithm3,20,1
59,Algorithm3,22,1
60,Algorithm3,25,1
61,Algorithm3,1,0
62,Algorithm3,2,0
63,Algorithm3,3,0
64,Algorithm3,5,0
65,Algorithm3,7,0
66,Algorithm3,8,0
67,Algorithm3,9,0
68,Algorithm3,10,0
69,Algorithm3,11,0
70,Algorithm3,13,0
71,Algorithm3,14,0
72,Algorithm3,15,0
73,Algorithm3,17,0
74,Algorithm3,19,0
75,Algorithm3,24,0
