Method1	Method2	Method3	Method4	Method5
0.240404129	0.240404129	3.9300000668	24.8050003052	0.2583014667
0.2571481466	-0.7428518534	2.6300001144	21.422000885	0.1237044632
0.247827366	-0.752172634	6.6649999619	30.8250007629	0.3686497509
0.2238422036	0.2238422036	3.6710000038	13.9139995575	0.3158116341
0.3447121382	0.3447121382	2.8729999065	17.6340007782	0.208601132
0.2595890164	0.2595890164	1.7319999933	10.3470001221	0.1829193383
0.2235964239	-0.7764035761	3.5	26.3129997253	0.1444179863
0.2070689797	-0.7929310203	3.7349998951	23.8880004883	0.2261266261
0.3423693776	0.3423693776	3.1630001068	17.8789997101	0.1777388453
0.3429381847	-0.6570618153	2.6429998875	20.9899997711	0.0113100316
0.2427383065	-0.7572616935	5.243999958	28.7070007324	0.3011919856
0.1670542955	-0.8329457045	6.1079998016	32.3209991455	0.3269219697
0.218520835	-0.781479165	2.8970000744	22.513999939	0.1680478305
0.3829019368	0.3829019368	3.8499999046	16.9370002747	0.2815126777
0.1486110091	-0.8513889909	4.382999897	22.204000473	0.2814034224
0.1990865767	-0.8009134233	3.6700000763	25.9150009155	0.191089198
0.2100020498	-0.7899979502	6.4010000229	32.3400001526	0.3825927377
0.3286328018	0.3286328018	3.239000082	17.4309997559	-1
0.3787671626	0.3787671626	5.8150000572	24.4029998779	0.3901592791
0.1988448501	-0.8011551499	2.5920000076	19.6399993896	0.1360337883
0.3248888254	0.3248888254	6.109000206	36.2109985352	0.2813936472
0.3803123832	-0.6196876168	6.0599999428	31.6410007477	0.3257341087
0.2260914892	-0.7739085108	4.4569997787	19.0489997864	0.2295660079
0.416375488	-0.583624512	3.5339999199	20.2689990997	0.1964150369
0.2959780693	0.2959780693	2.0209999084	10.2609996796	0.1715198159
0.3115054369	-0.6884945631	3.5439999104	22.2880001068	0.2245532125
0.1945558935	0.1945558935	4.9510002136	32.577999115	0.1016616151
0.1956712604	-0.8043287396	3.9419999123	22.0249996185	0.2369600534
0.3082673252	-0.6917326748	2.3369998932	9.8229999542	0.2203963399
0.2576223314	0.2576223314	14.4580001831	72.4840011597	0.6679463983
0.2172210515	-0.7827789485	2.1989998817	14.9759998322	0.1954623163
0.7179307342	-0.2820692658	5.3779997826	33.3450012207	0.1913745403
0.2331718057	-0.7668281943	1.8559999466	13.6669998169	0.0075187972
0.229214713	-0.770785287	3.6659998894	17.7469997406	0.3288080692
0.1706698239	-0.8293301761	1.9850000143	14.031999588	0.1871338785
0.3647353947	0.3647353947	3.6640000343	19.1359996796	0.2737738192
0.3186043799	0.3186043799	2.2750000954	19.170999527	0.14410007
0.2666303217	-0.7333696783	5.2160000801	24.4099998474	0.4107584357
0.1836554259	-0.8163445741	3.4739999771	20.6879997253	0.1914132237
0.2106385976	-0.7893614024	2.0399999619	13.2559995651	0.2133572549
0.3449793458	-0.6550206542	1.8739999533	15.2559995651	0.1315954626
0.28537938	-0.71462062	2.7460000515	17.1819992065	0.2294258326
0.1577299684	-0.8422700316	4.638999939	22.7700004578	0.3634197414
0.2135146856	0.2135146856	2.7869999409	18.2439994812	0.1178097874
0.3090472221	-0.6909527779	2.6919999123	19.0340003967	0.1730360389
0.2233253717	-0.7766746283	4.0460000038	24.1270008087	0.2609798312
0.3244423866	0.3244423866	1.8919999599	11.4429998398	0.162170887
0.2127266973	0.2127266973	3.1150000095	14.3800001144	0.3501603901
0.2495207042	0.2495207042	2.8710000515	18.216999054	0.2227446288
0.2049529254	-0.7950470746	1.9379999638	15.920999527	0.1332508326
0.1978435367	-0.8021564633	1.7289999723	12.7069997787	0.1362292469
0.1777426749	0.1777426749	5.8239998817	28.7630004883	0.4213306308
0.3821704984	0.3821704984	3.4230000973	21.8159999847	0.1316017061
0.2175044566	-0.7824955434	1.8980000019	15.4270000458	0.1854837835
0.2485791147	-0.7514208853	2.1059999466	16.6870002747	0.1892321855
0.2046745569	0.2046745569	8.1280002594	46.5999984741	0.4324320853
0.5355234742	-0.4644765258	5.9899997711	31.0100002289	0.3703372478
0.2088923305	-0.7911076695	4.618999958	32.3639984131	0.1060667858
0.2304114848	-0.7695885152	3.0959999561	17.8500003815	0.2703400552
0.2599966824	0.2599966824	7.7290000916	39.2070007324	0.4685496986
0.4712244868	-0.5287755132	3.0250000954	19.6210002899	0.1582916975
0.170442	0.170442	3.2430000305	23.3390007019	0.1889427304
0.25004673	-0.74995327	6.0339999199	28.6630001068	0.3558495939
0.1576059759	0.1576059759	2.9079999924	20.3069992065	0.168507427
0.2534064651	-0.7465935349	4.0570001602	25.8029994965	0.3551248908
0.2579192817	-0.7420807183	3.8819999695	28.1089992523	0.153788209
0.2040272057	-0.7959727943	2.3020000458	20.3519992828	0.1426864862
0.2986154854	-0.7013845146	3.6419999599	23.563999176	0.2751999199
0.2539121211	0.2539121211	3.7349998951	25.5060005188	0.2390541136
0.198331967	0.198331967	12.375	69.9140014648	0.5308877826
0.5979837179	-0.4020162821	3.5199999809	17.908000946	0.3177034557
0.3489279151	0.3489279151	2.7739999294	15.2860002518	0.2010329217
0.2004695833	0.2004695833	2.6449999809	17.1660003662	0.1989675909
0.2729778886	0.2729778886	2.7339999676	16.0310001373	0.131038636
0.2809224427	0.2809224427	6.3000001907	41.2120018005	0.1469278932
0.2463264912	0.2463264912	2.1589999199	20.1480007172	0.0986510366
0.2319899499	-0.7680100501	6.5	41.5789985657	0.2687369585
0.4240754247	-0.5759245753	2.3659999371	14.7250003815	0.2172718495
0.3158437014	0.3158437014	5.5780000687	35.1739997864	0.1033871844
0.2443100512	-0.7556899488	3.8680000305	23.4130001068	-1
0.277094245	0.277094245	3.8420000076	24.1189994812	0.1745437086
0.2654312253	0.2654312253	4.5999999046	27.1469993591	0.3883763552
0.3550925851	-0.6449074149	0.6679999828	8.3599996567	0.1143599525
0.2026644051	-0.7973355949	7.8359999657	48.5349998474	0.3556770384
0.4097510576	-0.5902489424	2.1040000916	14.3819999695	0.1235051602
0.3267807364	0.3267807364	2.8090000153	19.2759990692	-1
0.3613015413	0.3613015413	3.243999958	17.5219993591	0.170774579
0.1839293689	0.1839293689	4.3930001259	26.1019992828	0.0920300931
0.2491892874	0.2491892874	2.8529999256	19.6919994354	0.0173393749
0.2056193501	-0.7943806499	3.0780000687	19.861000061	0.212877363
0.2650707066	0.2650707066	16.357000351	83.7239990234	0.5280565023
0.3512532413	-0.6487467587	4.8159999847	31.670999527	0.2591915727
0.232616514	0.232616514	2.4839999676	19.1210002899	0.1011610404
0.148552835	-0.851447165	2.7130000591	13.920999527	0.2528658211
0.2726484239	0.2726484239	2.743999958	17.7000007629	0.055706989
0.2634649575	-0.7365350425	4.6979999542	23.7530002594	0.3385919034
0.2258052528	-0.7741947472	4.4569997787	21.3579998016	0.3777758479
0.3775495887	0.3775495887	5.9670000076	32.263999939	0.386942476
0.3457863629	-0.6542136371	1.8309999704	15.5399999619	0.2207372934
0.1088247448	-0.8911752552	3.0380001068	22.5620002747	0.1465402991
0.3027752638	-0.6972247362	3.5209999084	21.4120006561	0.2486886084
0.1392340213	0.1392340213	2.8459999561	20.6270008087	0.1804875731
0.2411198318	0.2411198318	1.753000021	11.7139997482	0.2125410885
0.2190507203	-0.7809492797	3.4719998837	22.2420005798	0.1437578797
0.1757155657	0.1757155657	2.5789999962	11.3819999695	0.2398249507
0.1635920703	0.1635920703	2.7039999962	17.9549999237	0.2439363301
0.2614366412	-0.7385633588	1.199000001	7.7080001831	0.1227965578
